fields,score
employee_class_self-employed,0.0017848506613548736
2015-2019_EOE_Percent_Change_Liberal_Votes,0.0017292904535714001
employee_distance_60_minutes_and_over,0.0016842361377443463
2015_Percent_Riding_Votes_Conservative,0.0016710600583487677
marital_status_divorced,0.0016361946407042998
marital_status_never_married,0.0016328997594610016
2015-2019_Absolute_Change_Number_of_Electors,0.0016091972425805352
ethnic_arab,0.0015571454099893103
immigrant_generation_second_generation,0.001530262077468328
age_30_to_34_years,0.0015133056693098878
employment_type_5_occupations_in_art_culture_recreation_and_sport,0.001490613806959489
2015-2019_Absolute_Change_Other_Votes,0.0014858535561654697
age_0_to_4_years,0.0014786913833056963
age_90_to_94_years,0.0014672729842069364
2015-2019_EOE_Percent_Change_NDP-New-Democratic-Party_Votes,0.001457042260512816
home_type_semi-detached_house,0.0014457166788286618
employee_departure_time_between_5_a.m._and_5:59_a.m.,0.001442664166323739
2019_Percent_Riding_Votes_Green-Party,0.0014216758421700959
population_percentage_change_2011_to_2016,0.0013825187408194957
immigrant_category_non-immigrants,0.001374738903682214
industry_61_educational_services,0.001373914173088587
education_subject_personal_protective_and_transportation_services,0.001337564680446007
2019_Percent_Riding_Votes_NDP-New-Democratic-Party,0.0013277353899766291
2015_Percent_Riding_Votes_NDP-New-Democratic-Party,0.0012818354480648303
2015-2019_Absolute_Change_Percent_Riding_Votes_Conservative,0.0012700668114754604
language_english_and_french,0.0012486216478956563
2019_Voter_Participation,0.0011948824246780887
education_subject_other,0.0011868615125752594
2015-2019_EOE_Percent_Change_Percent_Riding_Votes_Liberal,0.0011686706338391245
2015_Percent_Riding_Votes_Green-Party,0.0011450912281940374
employee_distance_15_to_29_minutes,0.0011033425602204217
industry_56_administrative_and_support_waste_management_and_remediation_services,0.0010901904033775566
industry_53_real_estate_and_rental_and_leasing,0.0010637124177551953
home_ownership_owner,0.0010619547147560746
2015_NDP-New-Democratic-Party_Votes,0.0010297834081682408
2019_Vote_Total,0.0010149166514838812
employee_distance_less_than_15_minutes,0.000989252305842149
home_type_row_house,0.000981510685472674
2019_Green-Party_Votes,0.000969901957555362
income_source_government_transfers_(),0.0009675522842319804
industry_55_management_of_companies_and_enterprises,0.0009325328102596996
2015-2019_Absolute_Change_Percent_Riding_Votes_Green-Party,0.0009176443387417134
parent_gender_total_lone-parent_families_by_sex_of_parent,0.0009111371906647926
2019_Percent_Riding_Votes_Other,0.0009046240243623414
employee_distance_30_to_44_minutes,0.0008874551421601287
education_level_college_cegep_or_other_non-university_certificate_or_diploma,0.0008735558424364275
home_type_apartment_in_a_building_that_has_fewer_than_five_storeys,0.0008711890034080824
education_level_degree_in_medicine_dentistry_veterinary_medicine_or_optometry,0.0008696909167273967
employee_departure_time_total_-_time_leaving_for_work_for_the_employed_labour_force_aged_15_years_and_over_in_private_households_with_a_usual_place_of_work_or_no_fixed_workplace_address_-_25_sample_data,0.0008447962739782637
2015_Percent_Riding_Votes_Liberal,0.0008232745791890058
2015-2019_Absolute_Change_Vote_Total,0.0008201806788062139
industry_22_utilities,0.0007998763125495514
2015_Green-Party_Votes,0.0007956081486897191
education_subject_agriculture_natural_resources_and_conservation,0.0007836739014930341
home_ownership_band_housing,0.0007818416288563999
industry_31-33_manufacturing,0.0007802497024938001
lone_parent_children_total_-_lone-parent_census_families_in_private_households_-_100_data,0.0007783027938251149
home_type_apartment_in_a_building_that_has_five_or_more_storeys,0.0007771688992998586
education_location_location_of_study_inside_canada,0.0007734877045058027
industry_72_accommodation_and_food_services,0.0007564631620147747
ethnic_west_asian,0.0007272386237856368
2015_Other_Votes,0.0007211115570352261
employment_type_9_occupations_in_manufacturing_and_utilities,0.0007151491193364705
education_subject_mathematics_computer_and_information_sciences,0.0007144525350087799
employee_distance_45_to_59_minutes,0.0006736083212387277
average_value_of_dwellings_($),0.0006678016624799975
_of_tenant_households_spending_30_or_more_of_its_income_on_shelter_costs,0.0006670647602928188
employment_type_4_occupations_in_education_law_and_social_community_and_government_services,0.0006661582955153807
2015_Number_of_Polling_Stations,0.0006631462040914142
age_5_to_9_years,0.0006619989587785007
2015-2019_EOE_Percent_Change_Percent_Riding_Votes_Other,0.0006597561925263634
education_subject_architecture_engineering_and_related_technologies,0.0006528362343394331
industry_51_information_and_cultural_industries,0.0006516744049098337
2015-2019_Absolute_Change_Liberal_Votes,0.000650524507184588
industry_91_public_administration,0.0006333670965071794
lone_parent_children_2_children,0.0006137184267311883
2019_Green-Party,0.0005918579802339428
age_80_to_84_years,0.0005863776892651527
2015-2019_Absolute_Change_Number_of_Polling_Stations,0.0005843816705950035
2015-2019_EOE_Percent_Change_Number_of_Electors,0.0005759006006781439
2015-2019_Absolute_Change_Voter_Participation,0.0005571108231942918
2015-2019_EOE_Percent_Change_Percent_Riding_Votes_Conservative,0.0005484733628715602
median_age_of_the_population,0.0005378481969890899
median_value_of_dwellings_($),0.0005260437744443599
average_household_size,0.0005101135738353575
marital_status_married,0.000501320504021383
language_total_-_knowledge_of_official_languages_for_the_total_population_excluding_institutional_residents_-_100_data,0.0005006488139063457
2015-2019_EOE_Percent_Change_Number_of_Polling_Stations,0.0005002882772154436
industry_81_other_services_(except_public_administration),0.0004965487508395603
home_type_apartment_or_flat_in_a_duplex,0.0004903389812135351
2015-2019_EOE_Percent_Change_Vote_Total,0.00048368265912578323
2015-2019_EOE_Percent_Change_Percent_Riding_Votes_NDP-New-Democratic-Party,0.00047977511891188586
industry_44-45_retail_trade,0.00047740148990368697
age_60_to_64_years,0.0004724441473701067
employee_distance_total_-_commuting_duration_for_the_employed_labour_force_aged_15_years_and_over_in_private_households_with_a_usual_place_of_work_or_no_fixed_workplace_address_-_25_sample_data,0.0004701420327411325
2015_Percent_Riding_Votes_Other,0.0004585131184329536
2015-2019_Absolute_Change_Percent_Riding_Votes_Other,0.00044966711158936405
2019_Other_Votes,0.00044311769014306887
total_private_dwellings,0.0004366583556702706
language_english_only,0.00043553515727436624
home_type_single-detached_house,0.00043443866378649906
2015-2019_Absolute_Change_Conservative_Votes,0.00042716535461173496
median_monthly_shelter_costs_for_owned_dwellings_($),0.00041229808297924556
employee_departure_time_between_12_p.m._and_4:59_a.m.,0.00040873820512516584
immigrant_age_5_to_14_years,0.00040811028331411625
employment_type_all_occupations,0.0004013913007259774
education_subject_physical_and_life_sciences_and_technologies,0.0003878426151545817
2019_Conservative,0.00038233857034456576
marital_status_widowed,0.0003816900327553918
median_monthly_shelter_costs_for_rented_dwellings_($),0.0003804400745406533
education_level_master's_degree,0.0003773253594813786
age_95_to_99_years,0.00037668904812763587
employment_type_8_natural_resources_agriculture_and_related_production_occupations,0.0003753356470817448
language_neither_english_nor_french,0.0003752727068310634
employee_departure_time_between_9_a.m._and_11:59_a.m.,0.0003702272836243494
ethnic_not_a_visible_minority,0.00036756801666003997
2015-2019_EOE_Percent_Change_Other_Votes,0.0003575840799289319
2015_Liberal_Votes,0.0003502723980504134
age_10_to_14_years,0.00033956151056354375
age_40_to_44_years,0.00033482798243916734
age_85_to_89_years,0.0003285805158599331
immigrant_age_15_to_24_years,0.0003231116154663961
age_70_to_74_years,0.000321420262645322
marital_status_total_-_marital_status_for_the_population_aged_15_years_and_over_-_100_data,0.00031967076464748946
2015-2019_Absolute_Change_Percent_Riding_Votes_Liberal,0.0003152108214827831
home_type_other_single-attached_house,0.000307806074053763
2015-2019_Absolute_Change_Green-Party_Votes,0.00030552145173234007
ethnic_chinese,0.00029938412678419586
education_subject_health_and_related_fields,0.0002986808488609076
2019_Liberal_Votes,0.00029633884165261294
population_2016,0.00029261777052351636
employee_class_employee,0.0002903800309738483
age_55_to_59_years,0.0002855324994368639
2015_Number_of_Electors,0.0002792978974308856
2015_Position_2_Conservative,0.00027420037969345934
employment_type_7_trades_transport_and_equipment_operators_and_related_occupations,0.0002687806717660362
education_location_location_of_study_outside_canada,0.00026338022053791894
immigration_arrival_before_1981,0.00026094608401869426
average_monthly_shelter_costs_for_owned_dwellings_($),0.0002603098160132508
shelter_total_-__owner_and_tenant_households_with_household_total_income_greater_than_zero_in_non-farm_non-reserve_private_dwellings_by_shelter-cost-to-income_ratio_-_25_sample_data,0.00025871894242716394
industry_48-49_transportation_and_warehousing,0.0002574189432271404
ethnic_south_asian,0.0002556468968758019
married_lone_parent_total_number_of_census_families_in_private_households_-_100_data,0.0002544960190146233
2015-2019_Absolute_Change_Percent_Riding_Votes_NDP-New-Democratic-Party,0.0002521438525838073
married_lone_parent_total_couple_families,0.0002503002497807398
employee_class_all_classes_of_workers,0.00024545868737641446
age_15_to_19_years,0.0002448497638180783
employment_total_-_population_aged_15_years_and_over_by_labour_force_status_-_25_sample_data,0.00023459348292885756
immigrant_generation_third_generation_or_more,0.0002321188819604554
2015-2019_Absolute_Change_NDP-New-Democratic-Party_Votes,0.000231210540130549
2015-2019_EOE_Percent_Change_Conservative,0.00023075734658357518
education_subject_business_management_and_public_administration,0.00023015053116832876
2019_Percent_Riding_Votes_Conservative,0.00022644045215695894
2015-2019_EOE_Percent_Change_Conservative_Votes,0.00022523100102796775
employment_type_6_sales_and_service_occupations,0.00022206772991482108
Province_British-Columbia,0.00021805619804086607
education_level_postsecondary_certificate_diploma_or_degree,0.00020878101434547807
shelter_spending_less_than_30_of_income_on_shelter_costs,0.00020688227904422913
2019_Bloc-Québécois,0.00020419331828461286
education_subject_visual_and_performing_arts_and_communications_technologies,0.00019880165992160184
education_subject_no_postsecondary_certificate_diploma_or_degree,0.00019869964332683328
2015_Vote_Total,0.00018551824151452745
age_50_to_54_years,0.00018441131532572668
age_35_to_39_years,0.00018406798134105095
education_level_apprenticeship_or_trades_certificate_or_diploma,0.0001801515515608251
2015-2019_Absolute_Change_Bloc-Québécois,0.0001740365275691413
age_75_to_79_years,0.00016618446688897517
2019_Number_of_Electors,0.00016603697437551213
2015-2019_EOE_Percent_Change_NDP-New-Democratic-Party,0.000164988455266054
average_age_of_the_population,0.00015870873768884515
education_subject_total_-_major_field_of_study_-_classification_of_instructional_programs_(cip)_2016_for_the_population_aged_25_to_64_years_in_private_households_-_25_sample_data,0.00015738155387071207
2019_Number_of_Polling_Stations,0.0001541084521816332
2015-2019_Absolute_Change_NDP-New-Democratic-Party,0.00015203625660856112
age_100_years_and_over,0.0001436178479565319
home_ownership_total_-_private_households_by_tenure_-_25_sample_data,0.000141933767860172
immigrant_generation_total_-_generation_status_for_the_population_in_private_households_-_25_sample_data,0.00013323055736373345
immigrant_category_total_-_immigrant_status_and_period_of_immigration_for_the_population_in_private_households_-_25_sample_data,0.00013292193647098654
ethnic_visible_minority_n.i.e.,0.00013150882628370282
age_65_to_69_years,0.00013100660583102613
2019_Bloc-Québécois_Votes,0.00012952091604386833
2015-2019_EOE_Percent_Change_Bloc-Québécois_Votes,0.0001249819138081464
age_45_to_49_years,0.00012384547073045438
immigrant_age_45_years_and_over,0.00012072304843721568
average_monthly_shelter_costs_for_rented_dwellings_($),0.00011587207456442147
age_total_-_age_groups_and_average_age_of_the_population_-_100_data,0.0001107770585383102
2015_Green-Party,0.00010630490487046486
2019_Position_5_None,0.00010601298587491137
education_location_postsecondary_certificate_diploma_or_degree,0.00010423473215742074
industry_all_industry_categories,9.985208855155836e-05
2019_Percent_Riding_Votes_Bloc-Québécois,9.856433638282052e-05
home_type_total_-_occupied_private_dwellings_by_structural_type_of_dwelling_-_100_data,9.706046360033715e-05
2019_Position_2_Conservative,9.563085865812052e-05
ethnic_total_-_ethnic_origin_for_the_population_in_private_households_-_25_sample_data,8.75539074900029e-05
2019_NDP-New-Democratic-Party,7.602065470104696e-05
2015-2019_EOE_Percent_Change_Green-Party,7.415204918462483e-05
2015-2019_EOE_Percent_Change_Bloc-Québécois,7.272835787248925e-05
2015-2019_EOE_Percent_Change_Percent_Riding_Votes_Bloc-Québécois,7.19230191665641e-05
2015_Conservative,6.717324209879765e-05
2015_Other,6.677422446303612e-05
2019_Position_1_Conservative,6.294609891495044e-05
education_subject_social_and_behavioural_sciences_and_law,6.0206949812290734e-05
2019_Position_5_Other,5.851818615214948e-05
2015_Position_3_NDP-New-Democratic-Party,5.68993844777421e-05
2015-2019_EOE_Percent_Change_Liberal,5.6551981188512066e-05
2019_Position_2_Liberal,5.6421726424964324e-05
private_dwellings_occupied_by_usual_residents,5.485465308596839e-05
2015_NDP-New-Democratic-Party,4.7098311217238465e-05
2015-2019_Absolute_Change_Percent_Riding_Votes_Bloc-Québécois,4.708430558225922e-05
2015_Position_2_Liberal,4.286951476569375e-05
2015_Liberal,4.189177018854552e-05
2015_Position_1_Liberal,3.948219815915492e-05
2015_Position_3_Liberal,3.8927787525488556e-05
2015_Percent_Riding_Votes_Bloc-Québécois,3.537581872869326e-05
2019_Position_4_NDP-New-Democratic-Party,3.376790957279776e-05
2015_Position_4_Green-Party,3.3185394524473415e-05
2019_Position_4_Green-Party,3.277837062116313e-05
2015-2019_Absolute_Change_Liberal,3.167025904489753e-05
2015_Position_2_NDP-New-Democratic-Party,3.1185568346724596e-05
2015_Position_5_Other,2.6773855369005087e-05
2015-2019_Absolute_Change_Green-Party,2.6179519584514226e-05
2019_Position_2_NDP-New-Democratic-Party,2.504604912101866e-05
2015_Bloc-Québécois,2.455299016460081e-05
2019_Position_3_Conservative,2.4049479074462538e-05
2019_Liberal,2.2914485478206817e-05
2019_Position_6_None,2.2395485689910743e-05
2015-2019_Absolute_Change_Bloc-Québécois_Votes,2.189370707648098e-05
2015-2019_Absolute_Change_Other,2.1371643678669782e-05
2015_Position_1_Conservative,1.8341114849003357e-05
2015_Position_5_None,1.7642917256142844e-05
2015-2019_Absolute_Change_Conservative,1.6680207038238207e-05
2019_Position_2_Green-Party,1.6501276755189312e-05
2015_Position_1_NDP-New-Democratic-Party,1.492578343369905e-05
Province_Ontario,1.3484116106184064e-05
2019_Other,1.2838497115494754e-05
2019_Position_1_Liberal,1.24530680484391e-05
2019_Position_3_NDP-New-Democratic-Party,9.902602779606847e-06
2019_Position_4_Conservative,8.66498661388066e-06
2019_Position_3_Green-Party,8.409363084128786e-06
2015_Position_4_Conservative,8.060061689075481e-06
Province_Nunavut,7.39306097764541e-06
Province_New-Brunswick,6.961284747906709e-06
Province_Nova-Scotia,6.36894851147074e-06
2015_Position_6_None,6.033121575202119e-06
2015_Position_4_Other,5.782496526713573e-06
2015-2019_EOE_Percent_Change_Other,5.661687925837114e-06
2015_Bloc-Québécois_Votes,4.834841189188336e-06
2019_Position_1_NDP-New-Democratic-Party,2.597762514215628e-06
2019_Position_5_Conservative,2.5227338337431933e-06
2015_Position_6_Other,2.110620604082918e-06
2019_Position_3_Liberal,2.0346394955898007e-06
Province_Northwest-Territories,1.8829606309582743e-06
Province_Quebec,1.592404729815585e-06
Province_Manitoba,1.3491336189750039e-06
2015_Position_5_Green-Party,1.2338121594076366e-06
2019_Position_5_Green-Party,1.1632827882272583e-06
2019_Position_4_Other,1.0565578312082039e-06
2015_Position_3_Conservative,7.96014322525001e-07
2019_Position_6_Other,7.543608031369126e-07
2019_Position_4_Liberal,9.858189716008312e-08
Province_Prince-Edward-Island,8.389394951741808e-08
Province_Saskatchewan,8.042920205779247e-08
2015_Position_3_Other,5.718807518600647e-08
2019_Position_5_NDP-New-Democratic-Party,3.541702828601221e-08
income_source_composition_of_total_income_in_2015_of_the_population_aged_15_years_and_over_in_private_households_()_-_100_data,0.0
2015_Position_4_None,0.0
Province_Newfoundland-and-Labrador,0.0
2015_Position_4_NDP-New-Democratic-Party,0.0
2019_Position_1_Green-Party,0.0
2015_Position_2_Green-Party,0.0
2019_Position_1_Other,0.0
2019_Position_2_Other,0.0
2015_Position_3_Green-Party,0.0
2019_Position_3_Other,0.0
2015_Position_2_Other,0.0
2015_Position_5_Conservative,0.0
2015_Position_1_Green-Party,0.0
Province_Yukon,0.0
